     1  12.00     
     1  10.932   1.068   0.000  0.66360E-20  0.66360E-20  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4  24.016   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     2  15.00
     1  10.932   4.068   0.000  0.11490E-18  0.11490E-18  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4  24.016   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  18.00
     1  10.932   7.068   0.000  0.35140E-18  0.35140E-18  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4  24.016   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4  21.00
     1  10.932  10.068   0.000  0.71786E-18  0.71786E-18  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4  24.016   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     5  24.00
     1  10.932  13.068   0.000  0.12167E-17  0.12167E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4  24.016   0.000   0.000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     6  27.00
     1  10.932  16.068   0.000  0.18510E-17  0.18510E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   3.394  10.185  0.90941E-18  0.41596E-22  0.61465E-18  0.00000E+00  0.00000E+00  0.14399E-18  0.82419E-22  0.15065E-18
     4  24.016   2.984  10.595  0.27995E-17  0.14918E-21  0.17825E-17  0.00000E+00  0.00000E+00  0.44169E-18  0.82040E-19  0.49312E-18
     7  30.00
     1  10.932  19.068   0.000  0.26244E-17  0.26244E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   6.394  10.185  0.32224E-17  0.14739E-21  0.21779E-17  0.00000E+00  0.00000E+00  0.51019E-18  0.29204E-21  0.53382E-18
     4  24.016   5.984  10.595  0.11292E-16  0.60173E-21  0.71897E-17  0.00000E+00  0.00000E+00  0.17816E-17  0.33091E-18  0.19890E-17
     8  33.00
     1  10.932  22.068   0.000  0.35409E-17  0.35409E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606   9.394  10.185  0.68625E-17  0.31388E-21  0.46382E-17  0.00000E+00  0.00000E+00  0.10865E-17  0.62194E-21  0.11368E-17
     4  24.016   8.984  10.595  0.25131E-16  0.13392E-20  0.16001E-16  0.00000E+00  0.00000E+00  0.39651E-17  0.73647E-18  0.44267E-17
     9  36.00
     1  10.932  25.068   0.000  0.46049E-17  0.46049E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606  12.394  10.185  0.11740E-16  0.53696E-21  0.79344E-17  0.00000E+00  0.00000E+00  0.18587E-17  0.10639E-20  0.19448E-17
     4  24.016  11.984  10.595  0.43962E-16  0.23427E-20  0.27991E-16  0.00000E+00  0.00000E+00  0.69362E-17  0.12883E-17  0.77437E-17
    10  39.00
     1  10.932  28.068   0.000  0.58210E-17  0.58210E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606  15.394  10.185  0.17750E-16  0.81186E-21  0.11997E-16  0.00000E+00  0.00000E+00  0.28103E-17  0.16087E-20  0.29405E-17
     4  24.016  14.984  10.595  0.67377E-16  0.35904E-20  0.42900E-16  0.00000E+00  0.00000E+00  0.10631E-16  0.19745E-17  0.11868E-16
    11  42.00
     1  10.932  31.068   0.000  0.71940E-17  0.71940E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3  23.606  18.394  10.185  0.24779E-16  0.11334E-20  0.16748E-16  0.00000E+00  0.00000E+00  0.39232E-17  0.22457E-20  0.41049E-17
     4  24.016  17.984  10.595  0.94925E-16  0.50584E-20  0.60440E-16  0.00000E+00  0.00000E+00  0.14977E-16  0.27818E-17  0.16721E-16
    12  45.00
     1  10.932  34.068   0.000  0.87286E-17  0.87286E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
